word,reading,meanings,level,example_ja,example_en
割引,わりびき,discount; reduction; rebate,N2,学生割引はありますか。,Do you have a student fare?
割算,わりざん,division (math),N2,,
括弧,かっこ,parenthesis; brackets,N2,この語句は、括弧で囲んだ方がいいよ。,You should put this phrase in parentheses.
活字,かつじ,printing type,N2,この大きな活字は眼に楽だ。,This large type is easy on the eyes.
活躍,かつやく,activity,N2,仕事でご活躍ですね。,I see you're doing very well in your business.
活力,かつりょく,vitality; energy,N2,彼はいつも活力旺盛だ。,He is always full of vigor.
渇く,かわく,to be thirsty,N2,しょっちゅう喉が渇くんだよ。,I'm always thirsty.
釜,かま,iron pot; kettle,N2,あの店の釜めしは絶品だよ。,That restaurant's kamameshi is absolutely superb.
瓦,かわら,roof tile,N2,藁なしで煉瓦はできない。,You cannot make bricks without straw.
乾かす,かわかす,to dry (clothes; etc.); to desiccate,N2,洗濯物を乾かす時間だ。,It's time to dry the laundry.
乾燥,かんそう,dry; arid; insipid; dehydrated,N2,肌が乾燥しています。,I have dry skin.
乾電池,かんでんち,dry cell; battery,N2,乾電池を探しているのですが。,I'm looking for batteries.
乾杯,かんぱい,toast (drink),N2,あなたに乾杯！,Here's to you!
冠,かんむり,crown; diadem; first; best,N2,ここに冠がある。,There's a crown here.
寒帯,かんたい,frigid zone,N2,,
勘違い,かんちがい,misunderstanding; wrong guess,N2,勘違いしてたわ。,I was mistaken.
巻く,まく,to wind; to coil; to roll,N2,ヘビがとぐろを巻く。,The snake coils itself up.
官庁,かんちょう,government office; authorities,N2,彼は官庁で相当な職についている。,He has a good position in a government office.
干す,ほす,to air; to dry; to desiccate; to drain (off); to drink up,N2,洗濯物を干すには最高の天気だ。,This is perfect weather for drying clothes.
感ずる,かんずる,to feel; to sense,N2,人生から非常な喜びを感ずる。,I get a kick out of life.
感激,かんげき,deep emotion; impression; inspiration,N2,トムは感激するだろう。,Tom will be thrilled.
感想,かんそう,impressions; thoughts,N2,それの感想は？,What do you think of it?
換気,かんき,ventilation,N2,換気しろよ。,Let some fresh air in.
漢和,かんわ,Chinese Character-Japanese (e.g. dictionary),N2,漢和辞典で漢字の意味を調べたの。,I looked up the meaning of a kanji in a Sino-Japanese dictionary.
甘やかす,あまやかす,to pamper; to spoil,N2,子供を甘やかすな。,Don't spoil your child.
看板,かんばん,sign; signboard; doorplate; poster,N2,良酒は看板を要せず。,Good wine needs no bush.
看病,かんびょう,nursing (a patient),N2,彼は病人を寝ずに看病した。,He watched with the patient.
緩い,ゆるい,loose; lenient; slow,N2,この靴は少し緩い。,These shoes are a little loose.
缶詰,かんづめ,packing (in cans); canning; canned goods; tin can,N2,魚の缶詰めはタレがうまい。,Tinned fish in dipping sauce is delicious.
観測,かんそく,observation,N2,記録的積雪を観測している。,We're seeing record amounts of snow.
観念,かんねん,(1) idea; notion; conception; (2) sense (e.g. of duty),N2,彼には経済観念がない。,He has no sense of economy.
鑑賞,かんしょう,appreciation,N2,音楽鑑賞が趣味だ。,I am interested in listening to music.
間も無く,まもなく,soon; before long; in a short time,N2,,
間隔,かんかく,space; interval; SPC,N2,陣痛の間隔はどれくらいですか。,How far apart are the contractions?
間接,かんせつ,indirection; indirectness,N2,税は直接税と間接税からなっている。,Taxes consist of direct taxes and indirect ones.
関東,かんとう,eastern half of Japan; including Tokyo,N2,台風が関東地方に上陸した。,The typhoon struck the Kanto district.
含める,ふくめる,to include; to instruct; to make one understand,N2,少し気になる…まで含めると７０％を越える方が毛穴や肌理の粗さを気にしています。,"Including responses up to 'It bothers me a bit', over 70% of respondents said that they were concerned about their pores and skin texture."
危うい,あやうい,dangerous; critical; grave,N2,危うい所を助かった。,I had a narrow escape.
器械,きかい,instrument,N2,彼は器械運動が得意だ。,He is good at gymnastics.
器具,きぐ,utensil,N2,実験用器具が故障している。,Something is wrong with the experimental apparatus.
基準,きじゅん,standard; basis; criteria; norm,N2,彼は基準を持たない男だよ。,He is a man with no standards.
基礎,きそ,foundation; basis,N2,基礎が大切よ。,Foundations are important.
基地,きち,base,N2,この近くに軍の基地がある。,There is a military base near here.
基盤,きばん,foundation; basis,N2,愛を基盤に生きている。,Love is the bedrock of my life.
寄せる,よせる,to collect; to gather; to add; to put aside,N2,インターネットで願書を取り寄せるといいよ。,Have them send you an application form over the Internet.
幾分,いくぶん,somewhat,N2,幾分は君に賛成です。,I agree with you to a degree.
期限,きげん,term; period,N2,最終期限が近づいている。,The deadline is drawing near.
機関車,きかんしゃ,locomotive; engine,N2,蒸気機関車は電車に取って代わられた。,Steam trains were replaced by electric trains.
帰す,かえす,to send back,N2,彼の成功は天才よりも努力に帰する。,His success is attributed more to hard work than to genius.
気を付ける,きをつける,to be careful; to pay attention; to take care,N2,あの男には気を付けるんだぞ。,Watch out for that man.
気圧,きあつ,atmospheric pressure,N2,気圧が高い。,The atmospheric pressure is high.
気体,きたい,vapour; gas,N2,液体は気体より重い。,Liquids are heavier than gases.
気配,けはい,indication; market trend; worry,N2,秋の気配がします。,It feels like fall.
稀,まれ,rare; seldom,N2,それはとても稀少ね。,That's very rare.
規準,きじゅん,standard; basis; criteria; norm,N2,,
規律,きりつ,order; rules; law,N2,学校の規律が乱れている。,School discipline is not as it should be.
記号,きごう,symbol; code,N2,発音記号が読めますか？,Can you read phonetic signs?
起床,きしょう,rising; getting out of bed,N2,彼は７時に起床します。,He gets up at seven.
飢える,うえる,to starve,N2,飢えるより盗みをした方がましだ。,Stealing is preferable to starving.
飢饉,ききん,famine,N2,我々に飢饉が迫った。,Famine stared us in the face.
儀式,ぎしき,ceremony; rite; ritual; service,N2,その儀式は明日催される。,The ceremony will take place tomorrow.
詰まる,つまる,to be blocked; to be packed,N2,放してくれ、息が詰まる。,Let me go. You're choking me.
却って,かえって,on the contrary; rather; all the more; instead,N2,,
客間,きゃくま,parlor; guest room,N2,客間に通された。,I was ushered into the drawing room.
客席,きゃくせき,guest seating,N2,観客席の最前列に席を予約したわ。,I've staked out places for us in the front row of the auditorium.
逆さ,さかさ,reverse; inversion; upside down,N2,逆さまだよ。,It's upside down.
逆様,さかさま,inversion; upside down,N2,彼は真っ逆様にプールに落ちた。,He fell head over heels into the pool.
休業,きゅうぎょう,closed (e.g. store); business suspended; shutdown; holiday,N2,多くの会社が休業した。,Many businesses closed down.
休講,きゅうこう,lecture cancelled,N2,この授業は明日休講です。,This lesson is cancelled tomorrow.
休息,きゅうそく,rest; relief; relaxation,N2,彼らは今休息している。,They are now at rest.
休養,きゅうよう,rest; break; recreation,N2,休養が必要なんですよ。,You just need a good rest.
汲む,くむ,(1) to draw (water); to dip; to scoop; to pump,N2,,
給与,きゅうよ,allowance; grant; supply,N2,私は給与の５分の１を税金で取られてしまう。,One-fifth of my wages go to taxes.
挙げる,あげる,to raise; to fly,N2,私は一ヶ月後に結婚式を挙げる。,I'm having a wedding in a month.
漁業,ぎょぎょう,fishing (industry),N2,その島の経済は漁業に依存している。,The economy of the island is dependent on the fishing industry.
漁師,りょうし,fisherman,N2,わしらは漁師だ。,We're fishermen.
競馬,けいば,horse racing,N2,彼は双眼鏡で競馬を見た。,He watched the horse racing through his binoculars.
境界,きょうかい,boundary,N2,自然に境界はありません。,Nature knows no boundaries.
強引,ごういん,overbearing; coercive; pushy; forcible; high-handed,N2,与党は強引に税制法案を通過させた。,The ruling party pushed its tax bill through.
強化,きょうか,strengthen; intensify; reinforce; solidify,N2,我々は組織を強化しなくてはならん。,We must beef up our organization.
強気,つよき,firm; strong,N2,彼は強気だ。,He comes on strong.
恐縮,きょうしゅく,shame; very kind of you; sorry to trouble,N2,ご親切に恐縮しております。,Your kindness overwhelms me.
挟まる,はさまる,to get between; to be caught in,N2,,
挟む,はさむ,to interpose; to hold between; to insert,N2,彼は会話の最中に口を挟むことがよくある。,He often breaks into the middle of a conversation.
教わる,おそわる,to be taught,N2,,
教養,きょうよう,culture; education; refinement; cultivation,N2,トムは教養がある。,Tom is refined.
蕎麦,そば,soba (buckwheat noodles),N2,日本では大晦日に蕎麦を食べる習慣があります。,There is a custom of eating buckwheat noodles on New Year's Eve in Japan.
響き,ひびき,echo; sound; reverberation; noise,N2,会堂に鐘の音が響き渡った。,The hall resounded with pealing bells.
響く,ひびく,to resound,N2,彼はいいね。打てば響くようにすぐ動いてくれるよ。,He's a good kid - very quick on the uptake and he does whatever needs to be done.
驚かす,おどろかす,to surprise; to frighten; to create a stir,N2,,
曲げる,まげる,to bend; to crook; to lean,N2,,
曲線,きょくせん,curve,N2,本当の女性には曲線がある。,Real women have curves.
琴,こと,Koto (Japanese harp),N2,これは竪琴だ。,It's a harp.
近々,ちかぢか,nearness; before long,N2,ではまた近々。,See you soon.
近寄る,ちかよる,to approach; to draw near,N2,犬に近寄るな。,Don't go near the dog.
近付ける,ちかづける,to bring near; to put close; to let come near; to associate with,N2,子供たちを薬に近付けるな。,Keep children away from medicine.
金魚,きんぎょ,goldfish,N2,金魚は生きてる。,The goldfish is alive.
句読点,くとうてん,punctuation marks,N2,句読点がないよ。,The punctuation is missing.
区域,くいき,limits; boundary; domain; zone; sphere; territory,N2,ここは立入禁止区域です。,This is a restricted area.
区切る,くぎる,to punctuate; to cut off; to mark off; to stop; to put an end to,N2,,
区分,くぶん,division; section; classification,N2,土地は８つに区分された。,The land was divided into 8 lots.
苦情,くじょう,complaint; troubles; objection,N2,生業の苦情を言うな。,Don't quarrel with your bread and butter.
苦心,くしん,pain; trouble,N2,苦心の甲斐があった。,That was well worth the trouble.
具える,そなえる,to be furnished with,N2,,
空っぽ,からっぽ,empty; vacant; hollow,N2,缶は空っぽだ。,The can is empty.
空想,くうそう,daydream; fantasy; fancy; vision,N2,龍は空想の動物だ。,A dragon is a creature of fancy.
空中,くうちゅう,sky; air,N2,煙は空中へと舞い上がった。,The smoke ascended into the air.
偶数,ぐうすう,even number,N2,十二は偶数だ。,Twelve is an even number.
櫛,くし,comb,N2,外出する前に髪を櫛でときなさい。,Comb your hair before you go out.
屑,くず,waste; scrap,N2,ラップは屑だ。,Rap is crap.
掘る,ほる,to dig; to excavate,N2,アナグマは深い穴を掘る。,Badgers dig deep holes.
群れ,むれ,group; crowd; flock; herd,N2,蚊の群れが彼を追った。,A swarm of mosquitoes followed him.
郡,ぐん,country; district,N2,これは豊能郡の地図です。,This is a map of the Toyono district.
係わる,かかわる,to concern oneself in; to have to do with; to affect; to influence; to stick to (opinions),N2,係わることを真剣に考えていますか？,Are you seriously thinking about becoming involved?
傾く,かたむく,to incline toward; to slant; to lurch,N2,,
形式,けいしき,form; formality; format; math expression,N2,一般に若者は形式を嫌う。,"In general, young people dislike formality."
形容詞,けいようし,true adjective,N2,次の文には形容詞と副詞が含まれています。,The next sentence has adjectives and adverbs.
形容動詞,けいようどうし,adjectival noun; quasi-adjective,N2,,
恵まれる,めぐまれる,to be blessed with; to be rich in,N2,,
慶び,よろこび,(n) (a) joy; (a) delight; rapture; pleasure; gratification; rejoicing; congratulations; felicitations,N2,,
敬う,うやまう,to show respect; to honour,N2,私は年輩の人を敬う。,I respect elderly people.
敬語,けいご,honorific; term of respect,N2,日本語には敬語があります。,The Japanese language has honorific expressions.
稽古,けいこ,practice; training; study,N2,彼女は稽古を休んだ。,She absented herself from the lesson.
系統,けいとう,system; family line; geological formation,N2,電気系統に欠点があります。,There is a fault in the electrical system.
経度,けいど,longitude,N2,この線は経度を表している。,This line represents the longitude.
継続,けいぞく,continuation,N2,継続は力なり。,Slow but steady wins the race.
繋がり,つながり,connection; link; relationship,N2,インターネットを繋ごうとしても、繋がりません。,"Even if I try to connect to the internet, I can't connect."
繋がる,つながる,to be tied together; to be connected to; to be related to,N2,自慰は狂気に繋がる。,Masturbation leads to insanity.
繋げる,つなげる,to connect,N2,,
蛍光灯,けいこうとう,fluorescent lamp; person who is slow to react,N2,ハリーは本当に蛍光灯だね。,Harry's really slow to catch on.
警備,けいび,defense; guard; policing; security,N2,警戒は警備。,Forewarned is forearmed.
芸能,げいのう,public entertainment; accomplishments; attainments,N2,彼は芸能界に精通している。,He is familiar with the entertainment world.
激増,げきぞう,sudden increase,N2,,
隙間,すきま,crevice; crack; gap; opening,N2,男は壁の隙間からのぞいた。,The man peeped through a hole in the wall.
桁,けた,column; beam; digit,N2,3桁の数字です。,It's a three-digit number.
傑作,けっさく,masterpiece; best work; boner; blunder,N2,まさに傑作だ。,This is a masterpiece.
血圧,けつあつ,blood pressure,N2,高血圧です。,I have high blood pressure.
血液,けつえき,blood,N2,血液の循環。,The cycle of blood is not regular.
月給,げっきゅう,monthly salary,N2,私は月給です。,I get paid every month.
月日,つきひ,time; years; days,N2,生年月日はいつ？,What is your date of birth?
月末,げつまつ,end of the month,N2,月末に近づいている。,The month is drawing to an end.
兼ねる,かねる,to hold (position); to serve; to be unable,N2,ちょっと大きいけど、この封筒でいいや。大は小を兼ねるって言うし。,It might be a bit big but this envelope will do just fine. It's better to be too big than too small.
堅い,かたい,hard (esp. wood); steadfast; honorable; stuffy writing,N2,彼は口が堅い。,He is a tight-lipped man.
嫌がる,いやがる,to hate; to dislike,N2,猫は濡れるのを嫌がる。,Cats dislike being wet.
建つ,たつ,to erect; to be erected; to be built,N2,口では大阪の城も建つ。,Easier said than done.
献立,こんだて,menu; program; schedule,N2,それほど多くの人々のための料理の献立を考えるのはむずかしい。,It is difficult planning meals for so many people.
研修,けんしゅう,training,N2,研修会は午後4時開始予定です。,The training session is scheduled to begin at 4 p.m.
県庁,けんちょう,prefectural office,N2,三重県の県庁所在地は津市です。,Mie Prefecture's capital is Tsu City.
見下ろす,みおろす,to overlook; to command a view of; to look down on something,N2,港を見下ろす墓に墓碑を立てた。,They set up a tombstone over the grave overlooking the harbor.
見学,けんがく,inspection; study by observation; field trip,N2,今日の午後この町を見学した。,We saw the sights of the city this afternoon.
見掛け,みかけ,outward appearance,N2,人は見掛けによらぬもの。,Men are not always what they seem to be.
見慣れる,みなれる,to become used to seeing; to be familiar with,N2,,
見出し,みだし,heading; caption; subtitle; index,N2,やっと妥協点を見出した。,"Finally, we found a point of compromise."
見送る,みおくる,(1) to see off; to farewell; (2) to escort; (3) to let pass,N2,彼らを見送る必要は無い。,There's no need to see them off.
見直す,みなおす,to look again; to get a better opinion of,N2,レポートを見直す時間がなかった。,I didn't have time to proofread my report.
見付かる,みつかる,to be found; to be discovered,N2,,
見付ける,みつける,to be familiar; to discover; to detect,N2,,
見舞う,みまう,to ask after (health); to visit,N2,彼らは私を見舞うためにその病院に来てくれた。,They came to the hospital to inquire after me.
見本,みほん,sample,N2,彼は登山家の良い見本だ。,He is a fine type of mountain climber.
謙虚,けんきょ,modesty; humility,N2,謙虚さは美徳です。,Modesty is a virtue.
謙遜,けんそん,humble; humility; modesty,N2,彼の謙遜さは賞賛に値する。,His modesty is worth respecting.
険しい,けわしい,inaccessible place; sharp eyes,N2,彼らは険しい北面を登った。,They climbed the rugged north face.
顕微鏡,けんびきょう,microscope,N2,トムは顕微鏡が欲しい。,Tom wants a microscope.
元々,もともと,originally; by nature; from the start,N2,彼らは元々あった文明を破壊した。,They destroyed the native civilization.
原稿,げんこう,manuscript; copy,N2,マユコは原稿の清書をした。,Mayuko made a fair copy of the draft.
原産,げんさん,place of origin; habitat,N2,サツマイモは、南アメリカが原産です。,The sweet potato is native to South America.
原始,げんし,origin; primeval,N2,原始人はその猛獣を見ておびえた。,The primitive man was frightened at the sign of the beast.
原理,げんり,principle; theory; fundamental truth,N2,彼はひとつの原理を考えだした。,He figured out a principle.
原料,げんりょう,raw materials,N2,日本はいろんな原料に乏しい。,Japan is lacking in raw materials.
厳重,げんじゅう,strict; rigour; severe; firm,N2,道路法規は厳重に守らなければならない。,The rule of the road must be strictly observed.
現に,げんに,actually; really,N2,私は彼の突然の出現に我を忘れた。,I was beside myself with his sudden appearance.
言い出す,いいだす,to start talking; to speak; to tell; to propose; to suggest; to break the ice,N2,何を言い出すかな？,What will they say?
言い付ける,いいつける,to tell; to tell on (someone); to order,N2,,
言付ける,ことづける,to send word; to send a message,N2,,
言葉遣い,ことばづかい,speech; expression; wording,N2,言葉遣いの綺麗な人が好きです。,I like people who use language beautifully.
限度,げんど,limit; bounds,N2,物事には限度がある。,There is a limit to everything.
個所,かしょ,passage; place; point; part,N2,やっとテレビの故障している個所が分かった。,"In the end, I found out what was wrong with my TV."
個体,こたい,an individual,N2,個体発生は系統発生を繰り返す。,Ontogeny recapitulates phylogeny.
古典,こてん,old book; classics; classic,N2,彼は立派な古典学者です。,He is a fine classical scholar.
呼び掛ける,よびかける,to call out to; to accost; to address (crowd); to appeal,N2,,
呼び出す,よびだす,to summon; to call (e.g. phone),N2,ことあるごとに呼び出すのはやめてちょうだい。,Could you please stop calling me at every opportunity you can get?
固い,かたい,stubborn; firm (not viscous or easily moved),N2,彼は頭が固い。,He is thick-headed.
固まる,かたまる,to harden; to solidify; to become firm; to become certain,N2,雨降って地固まる。,Adversity strengthens the foundations.
戸棚,とだな,cupboard; locker; closet; wardrobe,N2,私は戸棚を覗いた。,I looked in the cupboard.
枯れる,かれる,to wither; to die (plant); to be blasted (plant),N2,冬には枯れる植物もある。,Some plants perish in winter.
糊,のり,paste; starch,N2,彼はメモをドアに糊で貼った。,He pasted the notice on the door.
胡椒,こしょう,pepper,N2,もう少し胡椒を入れて。,Add a little more pepper.
五十音,ごじゅうおん,the Japanese syllabary,N2,氏名は五十音順です。,The names are in Japanese alphabetical order.
娯楽,ごらく,pleasure; amusement,N2,村には娯楽がない。,There are not many amusements in the village.
後輩,こうはい,junior (at work or school),N2,トムは高校の後輩です。,Tom and I went to the same high school.
御辞儀,おじぎ,bow,N2,,
御手洗,おてあらい,font of purifying water placed at entrance of shrine,N2,,
御馳走,ごちそう,feast; treating (someone),N2,,
御中,おんちゅう,and Company; Messrs.,N2,御中元や御歳暮の習慣はなかなかすたれない。,The gift-giving custom dies hard.
御無沙汰,ごぶさた,not writing or contacting for a while,N2,長いこと御無沙汰いたしました。,I have been out of touch with you for a long time.
御免,ごめん,your pardon; declining (something); dismissal; permission,N2,御免なさい。,I'm sorry.
御覧,ごらん,(hon) look; inspection; try,N2,その眠っている赤ちゃんを御覧なさい。,Look at the sleeping baby.
碁,ご,Go (board game of capturing territory),N2,父は碁をやります。,Father goes in for the game of Go.
交ざる,まざる,to be mixed; to be blended with; to associate with; to mingle with; to join,N2,,
交じる,まじる,to be mixed; to be blended with; to associate with,N2,父の髪に白髪が交じるようになった。,My father's hair has become streaked with gray.
交ぜる,まぜる,to be mixed; to be blended with,N2,,
交差,こうさ,cross,N2,平行線は交差しません。,Parallel lines do not intersect each other.
交替,こうたい,alternation; change; relief; relay; shift,N2,私達は交替で運転した。,We took turns driving.
交通機関,こうつうきかん,transportation facilities,N2,交通機関は何を使うんですか。,What form of transport will we take?
交流,こうりゅう,alternating current; intercourse; (cultural) exchange; intermingling,N2,トムは社会的交流が苦手だ。,Tom has trouble with social interactions.
光線,こうせん,beam; light ray,N2,夜空に光線が見えた。,We found a beam of light in the night sky.
公害,こうがい,public nuisance; pollution,N2,年々公害が悪化する。,"From year to year, pollution is worsening."
公共,こうきょう,public; community; public service; society; communal,N2,ＮＨＫは公共放送です。,NHK is a public broadcaster.
公式,こうしき,formula; formality; official,N2,この報道は公式のものだ。,This news is official.
公衆,こうしゅう,the public,N2,公衆電話はどこですか。,Where is a public telephone?
公正,こうせい,justice; fairness; impartiality,N2,私に公正に振る舞った。,He acted fairly towards me.
公表,こうひょう,official announcement; proclamation,N2,彼の死が公表された。,His death was made known to the public.
公務,こうむ,official business; public business,N2,私は公務員です。,I'm a government worker.
功績,こうせき,achievements; merit; meritorious service; meritorious deed,N2,彼の功績は認められた。,His services were appreciated.
効力,こうりょく,effect; efficacy; validity; potency,N2,その法律にはもはや効力はない。,The law is no longer in force.
厚かましい,あつかましい,impudent; shameless; brazen,N2,厚かましいなぁ。,You're shameless.
口紅,くちべに,lipstick,N2,口紅付けてるの？,Are you wearing lipstick?
口実,こうじつ,excuse,N2,彼は口実をでっち上げた。,He made up an excuse.
向う,むかう,(v5u) to face; to go towards,N2,塀の向う側のりんごは一番おいしい。,The apples on the other side of the wall are the sweetest.
好き嫌い,すききらい,likes and dislikes; taste,N2,トムは好き嫌いないよ。,Tom isn't a fussy eater.
好き好き,すきずき,matter of taste,N2,蓼食う虫も好き好き。,There is no accounting for tastes.
孝行,こうこう,filial piety,N2,孝行したいときに親はなし。,"When one would be filial, one's parents are gone."
工員,こういん,factory worker,N2,彼は新しい工員を採用した。,He hired some new workers.
工芸,こうげい,industrial arts,N2,彼は美術工芸を学校で教えている。,He teaches arts and crafts in a school.
工事,こうじ,construction work,N2,「道路工事中」,"""Road under Repair."""
工夫,くふう,labourer; worker,N2,食べる前にひと工夫！,Before eating here's a small tip.
広々,ひろびろ,extensive; spacious,N2,人々は広々とした庭園を歩きまわった。,People walked about in the wide garden.
広げる,ひろげる,to spread; to extend; to expand; to enlarge,N2,よい映画は人の視野を広げる。,Good movies broaden your horizons.
広さ,ひろさ,extent,N2,この部屋の広さで十分だ。,This room is large enough.
広める,ひろめる,to broaden; to propagate,N2,旅行は人の視野を広める。,Travel broadens one's horizons.
広場,ひろば,plaza,N2,広場には誰もいない。,The public square is desolate.
攻める,せめる,to attack; to assault,N2,彼は私にその問題をいかに攻めるべきかについて教えてくれた。,He enlightened me on how I should attack the subject.
更ける,ふける,to get late; to advance; to wear on,N2,夜が更けるにつれて寒くなった。,It became colder as the night wore on.
校舎,こうしゃ,school building,N2,校舎は全焼した。,The schoolhouse was burnt to ashes.
校庭,こうてい,campus,N2,校庭はすごく狭かったです。,The schoolyard was very small.
構造,こうぞう,structure; construction,N2,脳の構造は複雑だ。,The structure of the brain is complicated.
紅葉,こうよう,(1) (Japanese) maple,N2,紅葉が始まった。,The leaves began to turn red and yellow.
絞る,しぼる,to press; to wring; to squeeze,N2,私は５ポンド絞る必要がある。,I need to lose five pounds.
綱,つな,rope,N2,綱は張りすぎて切れた。,The rope broke under the strain.
耕す,たがやす,to till; to plow; to cultivate,N2,土地を耕す。,I till the earth.
耕地,こうち,arable land,N2,,
肯定,こうてい,positive; affirmation,N2,返答は肯定的なものだった。,The answer was yes.
荒い,あらい,rough; rude; wild,N2,彼は運転が荒い。,He drives roughly.
行事,ぎょうじ,event; function,N2,これは重要な行事です。,This is an important event.
行列,ぎょうれつ,(1) line; procession; (2) matrix (math),N2,大行列だな。,The line is huge.
講師,こうし,lecturer,N2,正確に言うと私は大学講師です。,"Specifically, I'm a university lecturer."
鉱物,こうぶつ,mineral,N2,その国は鉱物資源に富んでいる。,That country is rich in minerals.
項目,こうもく,item,N2,これは何の項目に入るか。,What heading does this come under?
香水,こうすい,perfume,N2,香水つけてる？,Are you wearing perfume?
高める,たかめる,to raise; to lift; to boost,N2,それが自分を高めるコツです。,It's the secret for improving oneself.
高級,こうきゅう,high class; high grade,N2,彼女は高級車好みだ。,She has expensive tastes in cars.
高層,こうそう,upper,N2,高層ビルがたくさんあります。,There are many tall buildings.
高度,こうど,altitude; height; advanced,N2,太陽の高度は２０度である。,The solar altitude is 20 degrees.
高等,こうとう,high class; high grade,N2,人類は高等哺乳動物である。,Human beings are the higher mammals.
合同,ごうどう,combination; incorporation; union; amalgamation,N2,3社合同で新作の発表会を開きました。,Three companies had a joint presentation for their new products.
合理,ごうり,rational,N2,これは合理的だ。,This is reasonable.
合流,ごうりゅう,confluence; union; linking up; merge,N2,私は後で君たちに合流する。,I'll join you later.
刻む,きざむ,to mince; to carve; to engrave,N2,ネギを刻むときは、手を切らないように気をつけてね。,"When you're chopping onions, be careful not to cut your hand."
国王,こくおう,king,N2,国王は権力を奪われた。,The king was deprived of his power.
国籍,こくせき,nationality,N2,彼の国籍はどこですか。,What is his nationality?
国立,こくりつ,national,N2,国立公園内での狩猟は禁止されている。,Hunting is banned in national parks.
腰掛け,こしかけ,seat; bench,N2,彼はベッドに腰掛けた。,He sat on the bed.
腰掛ける,こしかける,to sit (down),N2,盛大な溜息をつきながら、テーブルの上にどさどさとパンを置き、椅子にどっかりと腰掛ける。,Heaving a great sigh I plunk my bread on the table and flump onto the chair.
恨み,うらみ,resentment,N2,恨みは深いですよ。,The resentment runs deep.
恨む,うらむ,to curse; to feel bitter,N2,セーラは恨むような女の子ではないだろうが。,"Well, I don't think Sara is the sort of girl to bear grudges."
混ざる,まざる,to be mixed; to be blended with; to associate with; to mingle with; to join,N2,この物質は水と混ざる。,This substance will mix with water.
混じる,まじる,to be mixed; to be blended with; to associate with,N2,,
混ぜる,まぜる,to mix; to stir,N2,混ぜると味をごまかせる。,"If you mix it in, it'll mask the flavor."
混合,こんごう,mixing; mixture,N2,空気は気体の混合物だ。,Air is a mixture of gases.
紺,こん,navy blue; deep blue,N2,紺屋の白袴。,Shoemakers' children go barefoot.
差し引き,さしひき,deduction; subtraction; balance; ebb and flow; rise and fall,N2,,
差し支え,さしつかえ,hindrance; impediment,N2,差し支えなければ同行したいのですが。,I'd like to come along if you don't mind.
座布団,ざぶとん,cushion (Japanese),N2,この座布団を干して下さい。,Please air the zabuton.
座敷,ざしき,tatami room,N2,,
催し,もよおし,event; festivities; function,N2,彼らは祝宴を催した。,They held a congratulatory banquet.
催促,さいそく,request; demand; claim; urge (action); press for,N2,まさかリアルに借金の催促だったの？,"No way, is this really a debt collection call?"
再三,さいさん,again and again; repeatedly,N2,彼は再三再四それをやってみた。,He tried it over and over again.
再来月,さらいげつ,month after next,N2,再来月は１２月だ。,The month after next is December.
再来週,さらいしゅう,week after next,N2,また再来週。,See you the week after next week.
再来年,さらいねん,year after next,N2,再来年、国へ帰ります。,I'm returning to my home country the year after next.
塞がる,ふさがる,to be plugged up; to be shut up,N2,,
塞ぐ,ふさぐ,to stop up; to close up; to block (up),N2,,
採る,とる,(1) to adopt (measure; proposal); (2) to pick (fruit),N2,,
採点,さいてん,marking; grading; looking over,N2,採点しましたか。,Did you mark the papers?
災難,さいなん,calamity; misfortune,N2,人生に災難は付き物。,Accidents will happen.
砕く,くだく,to break; to smash,N2,愛は人の心を砕くこともできるのさ。,But love can break your heart.
砕ける,くだける,to break; to be broken,N2,,
祭る,まつる,to deify; to enshrine,N2,九頭竜明神を祭るために灯篭をながす。,Lanterns are floated to worship Great God Kuzuryū.
祭日,さいじつ,national holiday; festival day,N2,今度の祭日は日曜日と重なります。,The next holiday falls on a Sunday.
裁縫,さいほう,sewing,N2,彼女は裁縫が上手です。,She can sew very well.
載せる,のせる,to place on (something); to take on board; to give a ride,N2,この荷物をトラックに載せるの手伝って。,Help me get this luggage into the truck.
載る,のる,to appear (in print); to be recorded,N2,選挙の結果は夕刊に載るでしょう。,The results of the election will appear in the evening paper.
在る,ある,to live; to be,N2,山小屋は頂上の下の方に在る。,The hut is below the peak.
在学,ざいがく,(enrolled) in school,N2,彼は１０年級に在学中だ。,He is in the tenth grade.
材木,ざいもく,lumber; timber,N2,大量の材木が紙の製造に使われている。,Large amounts of timber are used in paper making.
作る/造る,つくる,to make; to create,N2,,
作者,さくしゃ,author; authoress,N2,この小説の作者は誰ですか。,Who is the author of this story?
作成,さくせい,frame; draw up; make; producing,N2,彼は報告書を作成した。,He wrote the report.
作製,さくせい,manufacture,N2,合鍵の作製には2日ほどかかります。,It takes about two days to make a duplicate key.
削る,けずる,to cut down little by little; to take a percentage,N2,君の鉛筆は削る必要がある。,Your pencils need sharpening.
削除,さくじょ,elimination; cancellation; deletion; erasure,N2,この文は削除しなさい。,Delete this sentence.
索引,さくいん,index; indices,N2,その本には索引がついていますか。,Is there an index to the book?
匙,さじ,spoon,N2,彼には先生も匙を投げている。,He is his teachers' despair.
刷る,する,to print,N2,,
撮影,さつえい,photographing,N2,写真撮影禁止。,Photography is prohibited.
擦る,こする,to rub; to chafe; to file; to frost (glass); to strike (match),N2,,
